User;Genre;Conf;Storytelling;Rhythm;Movements;Public Involvment;Use of space;Human characterization;Human reproducibility;
5fe65c62e5e63147348427a6;3;0;2;2;2;3;2;4;5;
5fe65c62e5e63147348427a6;3;1;2;2;2;3;2;5;5;
5fe65c62e5e63147348427a6;3;2;2;2;2;2;2;5;5;
5fe65c62e5e63147348427a6;4;0;2;3;2;3;2;5;5;
5fe65c62e5e63147348427a6;4;1;2;3;2;3;2;5;5;
5fe65c62e5e63147348427a6;4;2;2;3;2;3;2;5;5;
656e2e6630f721fb271e4efc;1;0;1;2;2;1;1;1;2;
656e2e6630f721fb271e4efc;1;1;2;3;2;3;2;2;3;
656e2e6630f721fb271e4efc;1;2;3;2;3;1;1;2;3;
656e2e6630f721fb271e4efc;5;0;1;1;3;1;2;2;4;
656e2e6630f721fb271e4efc;5;1;3;3;3;2;4;3;4;
656e2e6630f721fb271e4efc;5;2;4;5;3;3;3;2;3;
5fc2d0d1778e6b0a50d89020;1;0;4;3;2;1;2;2;1;
5fc2d0d1778e6b0a50d89020;1;1;4;2;3;2;3;2;2;
5fc2d0d1778e6b0a50d89020;1;2;4;2;3;2;3;2;2;
5fc2d0d1778e6b0a50d89020;3;0;2;1;1;2;2;2;1;
5fc2d0d1778e6b0a50d89020;3;1;2;1;2;1;2;2;1;
5fc2d0d1778e6b0a50d89020;3;2;3;3;1;3;1;3;2;
none;3;0;1;1;4;1;4;2;5;
none;3;1;2;2;4;2;4;2;5;
none;3;2;4;4;4;4;4;4;5;
none;5;0;1;1;1;1;1;1;5;
none;5;1;1;1;1;1;1;1;5;
none;5;2;3;3;3;3;3;3;5;
NONE;4;0;2;4;3;1;2;4;5;
NONE;4;1;1;2;2;1;2;3;5;
NONE;4;2;3;4;4;3;4;3;2;
NONE;5;0;2;2;2;1;2;3;4;
NONE;5;1;3;3;4;3;3;3;2;
NONE;5;2;5;4;4;4;4;4;3;
none;4;0;3;3;3;3;3;3;3;
none;4;1;3;3;4;3;3;3;3;
none;4;2;3;3;3;3;3;4;3;
none;5;0;3;3;3;3;3;3;3;
none;5;1;3;3;3;3;3;4;3;
none;5;2;3;3;4;3;3;3;3;
NONE;2;0;3;3;3;3;3;4;5;
NONE;2;1;3;2;3;3;3;4;3;
NONE;2;2;3;3;3;3;2;3;4;
NONE;3;0;2;2;2;2;2;2;3;
NONE;3;1;2;3;2;3;3;2;3;
NONE;3;2;3;4;3;3;3;3;3;
none;2;0;3;3;3;3;3;3;3;
none;2;1;3;3;4;3;3;3;3;
none;2;2;3;3;3;3;3;4;3;
none;3;0;3;3;3;3;3;3;3;
